bigram,count,sem,mean,std,skew,kurtosis
rp,116,0.017290151407,0.289413793103,0.186220629734,1.1962527501,0.79809078244
rr,561,0.00765442161218,0.20047237127,0.181298332843,7.40352696835,65.7102748081
rs,1797,0.00537204687626,0.273039510578,0.227726636761,7.65935751063,101.945998161
rt,1691,0.00428373456156,0.240014192886,0.176154749052,6.1858834307,57.5984709195
ru,591,0.00796383744724,0.219335026323,0.193604803065,4.31652701322,31.1778255291
rv,186,0.0147516220076,0.335876343389,0.201185301265,2.71605731146,8.94119450527
rw,437,0.00808207816708,0.318411899314,0.168952166417,1.98676712277,5.73866547707
ry,2116,0.00421304013693,0.20769565241,0.193799846299,5.74733976062,55.6534006631
sa,2029,0.00485570447881,0.225206012836,0.218722404167,8.29460001141,105.006075069
sc,890,0.00682897078383,0.286091011375,0.20372778247,4.4021117314,32.2689238008
se,8031,0.00232640372456,0.208039845627,0.208482639806,18.6840907161,614.446995857
sf,80,0.0286045246266,0.26075,0.255846646117,2.14396437109,4.92927854151
sh,2492,0.00407436954934,0.204302568372,0.203392266725,6.39163742834,72.5995571435
si,1850,0.00394533550849,0.196856757061,0.169695296658,4.85724651023,38.847530724
sj,77,0.0134524472061,0.120584415584,0.118044745157,1.51759966162,1.97638217494
sk,270,0.0112674953045,0.227285185002,0.185143840345,2.223871296,6.13140825021
sl,292,0.011871957404,0.23670890411,0.202868097049,3.1258935392,15.3699165506
sm,154,0.0159275701442,0.270305194805,0.197655947463,3.0700173949,15.1847963225
sn,289,0.0309043153783,0.289820069204,0.525373361431,12.3157704195,180.539187533
so,3667,0.00350786882325,0.18248759207,0.212421660569,15.8617487604,454.454271475
sp,1376,0.00860097811216,0.249867732558,0.319048758801,12.3163853428,234.674230415
sr,69,0.0302024063257,0.366652173913,0.250880029103,3.07514251364,11.5588542218
ss,2027,0.00559872350938,0.192214108863,0.252066943295,29.0131957458,1067.07103038
st,6191,0.00278330735079,0.22780746221,0.218998716018,8.36341514913,120.350064518
su,1960,0.00362446916615,0.20058622449,0.160462090237,3.80333416063,20.8634967322
sw,177,0.0241538078944,0.346790962661,0.32134551364,3.81307750319,18.3785558558
sy,217,0.0135415021132,0.243387096774,0.19947878245,3.22577964693,13.4398623107
ta,2704,0.00429410821749,0.204911242292,0.223293627309,12.2090262628,239.522991941
tc,389,0.0189388954763,0.328156811599,0.373533405955,9.45030597179,115.525715329
te,6338,0.00194722697637,0.183876301561,0.155021771324,7.81054310941,95.7362093316
tf,42,0.0473212817111,0.449976190476,0.306676956286,1.48922131597,1.75967847445
tg,49,0.0238986886061,0.200897959184,0.167290820243,0.994483385732,0.261838857169
th,25500,0.000933246306254,0.144153882428,0.149027484168,25.1164337848,1172.75624747
ti,4502,0.00303265944908,0.184842736533,0.203482183619,8.74715584771,129.001799012
tl,893,0.00816280982972,0.236178051512,0.243930108093,6.33703417207,61.8811273482
tm,79,0.0226978001633,0.287455696203,0.201742460697,1.73359892454,2.89929163826
tn,85,0.0209329904845,0.262494117647,0.192992636396,2.39396976151,8.05071954517
to,9833,0.00186249550455,0.151807586634,0.184687819028,20.0121493116,723.071072118
tr,1799,0.00421171383749,0.227682601373,0.178638242475,7.4491743873,93.5349670049
ts,1328,0.0105937728657,0.270771837453,0.386055456183,12.74375151,225.894682952
tt,1147,0.00572680528168,0.190002615484,0.193951939016,9.45470208736,122.774060785
tu,1707,0.0044480653645,0.211195664334,0.183775630392,8.42503674396,132.103349194
tv,113,0.0285263102694,0.351044247788,0.303238837663,5.72139097262,43.8512582409
tw,331,0.0172026033441,0.339589124697,0.312973936552,4.18645126024,24.8551405541
ty,1291,0.00581299338867,0.190573199099,0.208863691791,6.53136898399,60.0805215731
ua,567,0.00792067987559,0.195278659612,0.188605342488,6.51262279331,68.506237038
ub,201,0.0188743202522,0.314129353737,0.267589672748,3.54810577832,18.4940717011
uc,746,0.00922576959356,0.229949061662,0.251983450145,10.0379932141,160.444215454
ud,263,0.0108265299653,0.276216728747,0.17557681093,1.38131659807,1.48163523584
ue,536,0.00851588569816,0.218623134328,0.19715700785,3.95737914999,22.5981968608
uf,155,0.0154639396737,0.254225807805,0.192524496327,2.46357263703,9.48986148374
ug,1374,0.0046253837039,0.231558224016,0.17145143813,5.58639668011,74.4991457732
uh,52,0.0205268162567,0.227423076923,0.148020977071,1.42979938379,2.62033516201
ui,392,0.0104742431528,0.192474489363,0.207379434111,6.7241190681,67.5612349012
ul,1591,0.00498197472507,0.245859208582,0.198717726458,9.79141334884,159.697629373
um,873,0.00874005355958,0.281630011223,0.258238634065,9.5290291804,119.49736362
